id_servicio,nombre,precio,descripcion
"0,0,Una cena para dos personas,""$68.350,00"",""Lorem ipsum dolor sit amet, consectetur adipiscing elit"""
"11,2,Una porción de helado,""$38.452,00"",Ut enim ad minim veniam"
"5,3,Tres papas crujientes,""$48.667,00"",quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat"
"28,5,Una sesión de masaje descontracturante,""$34.831,00"",Excepteur sint occaecat cupidatat non proident"
"2,6,Tres entradas con bus al paseo de la playa,""$28.812,00"",sunt in culpa qui officia deserunt mollit anim id est laborum"
"29,7,Un viaje al centro del mundo,""$3.565,00"",Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium"
"4,8,Seis noches en Puerto Varas,""$60.787,00"",totam rem aperiam"
"36,9,Tour por el campus San Joaquín,""$58.056,00"",eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo"
"12,10,Tour por todos los campus de la PUC,""$68.037,00"",Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit"
"50,11,Una clase de NebCoins,""$30.538,00"",sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt"
"6,12,Curso online de Base de Datos,""$90.754,00"",""Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet"""
"22,13,Curso online de Windows XP,""$14.737,00"",""consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem"""
"42,14,Noche + cena en hotel de Santiago,""$31.084,00"",""Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam"""
"26,15,Cualquier viaje en Cabify a $1000,""$1.000,00"",nisi ut aliquid ex ea commodi consequatur"
"43,17,Tres entradas a Fantasilandia,""$51.703,00"",vel illum qui dolorem eum fugiat quo voluptas nulla pariatur"
"30,19,Una entrada a la Gala de Ingenieria,""$69.017,00"",similique sunt in culpa qui officia deserunt mollitia animi"
"10,21,Un vuelo en primera clase,""$94.563,00"",Et harum quidem rerum facilis est et expedita distinctio"